,date,open,high,low,close,volume,ratio
247,108/08/22,249.18,249.66,246.27,246.27,21865,0.998
248,108/08/21,246.76,247.25,245.31,246.76,20208,1.0
249,108/08/20,246.28,246.76,244.82,246.76,19913,1.0099
250,108/08/19,243.86,245.31,242.89,244.34,24026,1.008
251,108/08/16,241.92,244.34,240.46,242.4,25328,1.0081
252,108/08/15,239.48,240.94,238.51,240.45,27593,0.9940000000000001
253,108/08/14,244.81,246.26,241.9,241.9,35180,1.0122
254,108/08/13,241.41,241.89,238.98,238.98,23066,0.9821
255,108/08/12,246.73,246.73,243.34,243.34,21707,0.9901
256,108/08/08,240.44,246.26,240.44,245.77,29662,1.0222
257,108/08/07,242.37,242.86,238.98,240.43,29365,0.998
258,108/08/06,232.67,242.37,232.67,240.91,58579,1.0081
259,108/08/05,243.34,244.31,238.0,238.97,51421,0.9801
260,108/08/02,244.31,245.76,242.85,243.82,53952,0.9805
261,108/08/01,249.64,249.64,247.7,248.67,29963,0.9884
262,108/07/31,252.07,252.07,249.16,251.59,31589,0.9981
263,108/07/30,254.49,254.98,252.07,252.07,22614,0.9962
264,108/07/29,252.06,254.0,251.58,253.03,17465,1.0
265,108/07/26,253.03,254.48,253.03,253.03,20377,0.9849
266,108/07/25,255.94,256.91,253.52,256.91,30366,1.0
267,108/07/24,258.36,258.36,254.97,256.91,23687,1.0038
268,108/07/23,257.39,258.36,254.48,255.94,29118,1.0
269,108/07/22,254.97,255.94,254.0,255.94,31380,1.0193
270,108/07/19,251.58,253.03,251.09,251.09,59553,1.0197
271,108/07/18,244.3,246.72,243.82,246.24,20723,1.0079
272,108/07/17,246.25,246.25,243.34,244.31,25500,0.9844
273,108/07/16,246.24,248.67,245.76,248.18,21286,1.0059
274,108/07/15,243.33,246.72,241.88,246.72,29632,1.016
275,108/07/12,244.29,244.29,241.87,242.83,23390,1.002
276,108/07/11,242.35,242.35,239.92,242.35,31095,1.0121
277,108/07/10,235.57,239.45,235.57,239.45,23640,1.0207
278,108/07/09,234.11,235.56,233.14,234.59,16369,0.9979
279,108/07/08,232.66,237.02,232.66,235.08,27725,0.9979
280,108/07/05,237.03,237.51,234.12,235.57,22749,0.9959
281,108/07/04,237.02,237.51,235.09,236.54,17444,1.0062
282,108/07/03,236.54,237.51,234.6,235.08,29369,0.9739
283,108/07/02,241.86,242.35,239.93,241.38,24115,1.002
284,108/07/01,237.99,242.35,237.51,240.9,66103,1.0397
285,108/06/28,234.13,234.13,230.73,231.7,25855,0.9938
286,108/06/27,228.78,234.11,228.78,233.15,41912,1.0256
287,108/06/26,227.82,229.27,226.85,227.33,27518,0.9832
288,108/06/25,233.64,234.12,229.76,231.21,28467,0.9896
289,108/06/24,233.64,234.61,232.67,233.64,43224,1.0021
290,108/06/21,232.69,233.15,230.8,233.15,60746,1.0143
