,date,open,high,low,close,volume,SMA_5,SMA_7,SMA_10,SMA_13,SMA_20,SMA_21,SMA_24,SMA_48,SMA_60,kline,dline,jline,DIF,MACD,BAR
36,107/10/29,223.0,237.0,220.5,236.5,177151.0,236.10000000000008,243.49999999999997,248.55,247.19230769230774,241.0,240.13809523809522,237.4383333333333,,,22.676550294914694,23.172857218768257,21.68393644720757,1.1020862846667114,2.9718864672298633,-1.8698001825631518
35,107/11/5,233.0,237.5,231.0,231.0,138209.0,232.3000000000001,239.1428571428571,246.05,246.11538461538464,241.575,240.52380952380952,237.8770833333333,,,24.787086551792413,21.841723467739715,30.67781271989781,0.19923508556524894,2.4173561908969403,-2.2181211053316914
34,107/11/12,230.0,234.5,224.5,226.0,148076.0,230.10000000000008,233.9285714285714,242.25,245.07692307692312,242.05,240.83333333333334,238.28874999999996,,,28.29515644641693,25.252931097708018,34.379607143834754,-0.9092578491788288,1.7520333828817864,-2.6612912320606155
33,107/11/19,225.0,225.0,214.0,218.5,162329.0,226.60000000000008,229.4285714285714,238.0,243.1538461538462,242.125,240.92857142857142,238.26666666666665,,,18.43467379181663,23.838972263341997,7.626076848765891,-2.365663905184249,0.9284939252685793,-3.2941578304528285
32,107/11/26,219.0,231.5,218.5,225.5,181735.0,227.50000000000009,227.78571428571425,234.4,240.80769230769235,242.175,241.33333333333334,238.375,234.3475,,16.673731030873867,21.134520423035813,7.752152246549976,-2.921359089744783,0.15852332226590682,-3.07988241201069
31,107/12/3,231.0,235.0,219.5,221.0,192976.0,224.4000000000001,225.6428571428571,230.25,237.50000000000003,241.35,241.16666666666666,238.4375,234.12979166666665,,17.73076923076921,17.61305801781991,17.966191656667803,-3.6824153273378784,-0.6096644076548503,-3.072750919683028
30,107/12/10,219.5,227.5,218.5,222.5,143868.0,222.7000000000001,225.85714285714283,227.5,234.53846153846158,240.25,240.45238095238096,238.6875,234.00354166666668,,24.61626878868256,19.673589683441886,34.50162699916391,-4.117061492661946,-1.3111438246562694,-2.805917668005677
29,107/12/17,221.0,225.5,219.0,221.5,156135.0,221.8000000000001,223.7142857142857,225.95,231.4615384615385,238.975,239.35714285714286,238.875,233.48416666666665,,27.36626878868256,23.237768936044784,35.623268493958115,-4.490450237657569,-1.9470051072565293,-2.54344513040104
28,107/12/24,221.5,225.5,215.0,225.5,109599.0,223.2000000000001,222.9285714285714,224.9,228.61538461538464,238.0,238.33333333333334,238.91666666666666,233.058125,,36.498838346784034,29.49379197471639,50.508931090919326,-4.412729736014171,-2.4401500330080577,-1.9725797030061134
27,107/12/31,226.5,226.5,206.5,208.0,132702.0,219.7000000000001,220.35714285714283,223.6,225.38461538461542,236.425,236.57142857142858,237.6875,232.17749999999998,,28.341626630061754,30.73557792184279,23.55372404649968,-5.697561482749251,-3.091632322956296,-2.6059291597929546
