,date,open,high,low,close,volume,SMA_5,SMA_7,SMA_10,SMA_13,SMA_20,SMA_21,SMA_24,SMA_48,SMA_60,kline,dline,jline,DIF,MACD,BAR
293,108/06/18,219.54,220.94,218.6,220.94,28495,223.38400000000007,224.4985714285713,222.8230000000005,222.24538461538444,220.73749999999964,220.85952380952347,222.0845833333332,232.75083333333347,232.37600000000015,29.62524654832343,43.233499004722454,2.408741635525388,-2.2903963920649915,-2.93524124709304,0.6448448550280483
292,108/06/19,227.52,228.92,225.64,228.92,50074,223.0080000000001,225.03428571428557,223.85500000000053,223.183846153846,221.20599999999962,221.1271428571425,221.8883333333332,232.55583333333345,232.35350000000014,44.43786982248514,37.34385272846796,58.625904010519506,-1.6157236534731112,-2.6713377283690543,1.055614074895943
291,108/06/20,227.05,230.33,226.11,229.86,37743,223.94600000000008,225.09999999999985,224.79300000000052,223.86923076923065,221.5339999999996,221.61809523809487,221.80916666666653,232.41958333333346,232.29983333333348,66.3708705088015,46.81132895986993,105.48995360666466,-0.9937353408615479,-2.335817250867553,1.342081910006005
290,108/06/21,232.69,233.15,230.8,233.15,60746,226.2940000000001,225.43571428571414,226.3420000000005,224.6276923076922,222.40149999999957,222.08714285714245,222.08249999999984,232.35187500000015,232.41050000000013,88.59966735298298,66.46946922808978,132.86006360276937,-0.23264779860619456,-1.9151833604152813,1.6825355618090867
289,108/06/24,233.64,234.61,232.67,233.64,43224,229.30200000000008,226.64571428571415,227.18900000000048,225.78461538461528,223.15299999999962,222.93666666666627,222.51333333333318,232.22583333333344,232.49000000000012,93.32678471267212,82.76577419148543,114.4488057550455,0.40538543590844256,-1.4510696011505364,1.856455037058979
288,108/06/25,233.64,234.12,229.76,231.21,28467,231.35600000000008,228.04571428571415,227.3700000000005,226.60999999999987,223.87699999999964,223.5366666666663,222.9991666666665,232.01979166666675,232.56783333333343,92.06176203451405,91.32940470005629,93.52647670342955,0.7068030933098441,-1.0194950622584602,1.7262981555683043
287,108/06/26,227.82,229.27,226.85,227.33,27518,231.0380000000001,229.292857142857,227.0230000000005,227.35384615384604,224.43099999999964,224.0414285714282,223.16708333333315,231.6450000000001,232.57300000000006,78.83742052679379,88.07532242465989,60.361616731061616,0.6253861229741062,-0.690518825211947,1.3159049481860532
286,108/06/27,228.78,234.11,228.78,233.15,41912,231.69600000000008,231.03714285714273,227.8210000000005,227.9676923076922,225.32249999999962,224.84619047619012,223.8899999999998,231.33270833333344,232.6203333333334,77.94732061762035,82.94883439297597,67.94429306690913,1.0187444952412648,-0.3486661611213046,1.3674106563625694
285,108/06/28,234.13,234.13,230.73,231.7,25855,231.4060000000001,231.43428571428558,228.8500000000005,228.14461538461526,226.07149999999962,225.62619047619012,224.43541666666647,230.99020833333347,232.6435000000001,78.06481076484323,78.28318396975236,77.62806435502497,1.1996521145931354,-0.03900250597841659,1.2386546205715518
284,108/07/01,237.99,242.35,237.51,240.9,66103,232.8580000000001,233.01142857142844,231.08000000000052,228.92153846153832,227.0689999999996,226.77761904761866,225.4424999999998,230.81000000000014,232.8123333333334,88.3966727194017,81.46960136728832,102.2508154236285,2.061620738135531,0.3811221428443729,1.680498595291158
283,108/07/02,241.86,242.35,239.93,241.38,24115,234.8920000000001,234.18714285714273,233.12400000000054,230.1684615384614,227.9734999999996,227.7504761904758,226.48958333333314,230.60083333333344,232.98150000000007,89.05783834133968,85.17310727519477,96.82730047362949,2.75174862566152,0.8552474394078025,1.8965011862537176
282,108/07/03,236.54,237.51,234.6,235.08,29369,236.4420000000001,234.39285714285703,233.74000000000052,231.21999999999986,228.7974999999996,228.31190476190437,227.3129166666665,230.24104166666677,232.94400000000007,79.48214304337411,85.6455513680384,67.15532639404555,2.758524051778352,1.2359027618819123,1.5226212898964395
281,108/07/04,237.02,237.51,235.09,236.54,17444,237.12000000000012,235.15428571428558,234.4080000000005,232.59999999999988,229.6004999999996,229.16619047619008,228.13874999999982,229.9410416666668,232.91500000000008,69.87999894062187,79.47332677511179,50.69334327164205,2.8488634990006005,1.55849490930565,1.2903685896949506
280,108/07/05,237.03,237.51,234.12,235.57,22749,237.8940000000001,236.33142857142843,234.6500000000005,233.72538461538448,230.49599999999958,229.88476190476152,228.74791666666647,229.76729166666678,232.8698333333334,57.29032258064518,68.8841548548803,34.10265803217496,2.809797669912598,1.8087554614270396,1.0010422084855584
279,108/07/08,232.66,237.02,232.66,235.08,27725,236.7300000000001,236.6071428571427,234.7940000000005,234.19923076923064,230.99149999999958,230.71428571428532,229.23916666666648,229.59291666666675,232.8478333333334,57.29032258064518,61.48688136730399,48.89720500732757,2.7080817335056224,1.9886207158427562,0.7194610176628662
278,108/07/09,234.11,235.56,233.14,234.59,16369,235.37200000000013,237.0199999999998,235.13200000000052,234.5630769230768,231.2509999999996,231.16285714285675,229.90541666666647,229.41791666666677,232.81766666666675,50.72329062368765,55.10131192832591,41.967248014411126,2.558440111152521,2.1025845949047093,0.45585551624781173
277,108/07/10,235.57,239.45,235.57,239.45,23640,236.2460000000001,236.81285714285696,236.3440000000005,235.04769230769216,231.68349999999958,231.6414285714282,230.69583333333313,229.34416666666678,232.81366666666676,56.98494553827688,54.999519580869816,60.95579745309101,2.7997358188684416,2.2420148396974557,0.5577209791709858
276,108/07/11,242.35,242.35,239.92,242.35,31095,237.40800000000007,236.95142857142835,237.2640000000005,235.71769230769218,232.54249999999962,232.1914285714282,231.72458333333316,229.21333333333348,232.83450000000008,72.61935414042738,60.10919676746388,97.63966888635436,3.1882183725618916,2.431255546270343,0.7569628262915487
275,108/07/12,244.29,244.29,241.87,242.83,23390,238.86000000000007,238.0585714285712,238.3770000000005,236.61153846153832,233.61349999999962,233.03238095238058,232.46041666666648,229.20958333333348,232.7930000000001,87.49642964438522,72.36690977436307,117.75546938442952,3.4945426710674496,2.6439129712297644,0.8506296998376852
274,108/07/15,243.33,246.72,241.88,246.72,29632,241.18800000000005,239.51285714285694,238.95900000000046,238.10307692307677,235.0194999999996,234.2376190476187,233.18208333333317,229.21854166666677,232.76933333333344,95.81541989108632,85.31040122529954,116.82545722265988,4.005029883046831,2.9161363535931777,1.088893529453653
273,108/07/16,246.24,248.67,245.76,248.18,21286,243.90600000000003,241.31428571428552,239.63900000000044,239.25923076923058,236.38149999999965,235.64619047619013,233.90624999999986,229.30666666666676,232.7700000000001,94.79522418007241,92.70235790518122,98.9809567298548,4.475810121685413,3.228071107211625,1.247739014473788
272,108/07/17,246.25,246.25,243.34,244.31,25500,244.87800000000001,242.63285714285695,240.56200000000044,240.22923076923058,237.15099999999967,236.7590476190473,234.70374999999987,229.38270833333343,232.68266666666676,89.90214449302526,93.50426285472791,82.69790776961995,4.484930706126619,3.4794430269946237,1.005487679131995
271,108/07/18,244.3,246.72,243.82,246.24,20723,245.65600000000003,244.2971428571427,241.53200000000044,240.63999999999984,237.96999999999966,237.58380952380918,235.7383333333332,229.50854166666673,232.59633333333343,84.84280657922143,89.84672508410627,74.83496956945177,4.59492625569024,3.7025396727337467,0.892386582956493
270,108/07/19,251.58,253.03,251.09,251.09,59553,247.30800000000005,245.9599999999998,243.08400000000043,241.38692307692293,238.86699999999968,238.59476190476158,237.0920833333332,229.84291666666672,232.57533333333342,82.61178727431444,85.78557944885362,76.26420292523605,5.015635859984343,3.965158910183866,1.0504769498004771
269,108/07/22,254.97,255.94,254.0,255.94,31380,249.15200000000004,247.9014285714284,245.17000000000044,242.9915384615383,239.98199999999966,239.6799999999997,238.5504166666665,230.31750000000008,232.65866666666676,91.68944707027526,86.38134697460362,102.30564726161856,5.674987990300423,4.307124726207177,1.3678632640932458
268,108/07/23,257.39,258.36,254.48,255.94,29118,250.70400000000004,249.77428571428555,247.30500000000043,244.483846153846,241.21849999999964,240.7419047619044,239.67624999999984,230.78229166666677,232.85916666666677,92.37423690020343,88.89182374826429,99.33906320408173,6.126902189376551,4.671080218841052,1.4558219705354993
267,108/07/24,258.36,258.36,254.97,256.91,23687,253.22400000000007,251.22999999999985,249.05100000000044,246.12538461538446,242.69749999999962,241.96571428571391,240.80333333333317,231.3062500000001,233.0835000000001,92.69438258117388,92.25268885055077,93.5777700424201,6.488522690768093,5.03456871322646,1.4539539775416328
266,108/07/25,255.94,256.91,253.52,256.91,30366,255.3580000000001,252.47714285714272,250.50700000000043,247.8046153846152,243.88549999999964,243.37428571428535,241.79333333333318,231.93791666666675,233.3155000000001,89.76153468473377,91.6100513887036,86.06450127679415,6.697900317889463,5.3672350341590604,1.3306652837304025
265,108/07/26,253.03,254.48,253.03,253.03,20377,255.7460000000001,253.722857142857,251.52700000000044,249.22307692307675,244.95199999999963,244.32095238095204,242.60124999999982,232.55729166666677,233.48283333333345,82.30740988800578,88.25444238463773,70.41334489474187,6.4760976004729685,5.589007547421842,0.8870900530511268
